PassengerId,Survived
972,0
995,0
1177,0
976,0
1302,0
982,1
911,1
1033,1
933,0
915,0
1297,0
1001,0
1306,1
1069,1
1161,0
1095,1
1112,1
1022,0
1016,0
945,1
1194,0
1009,1
1215,0
1050,1
1092,0
1252,0
1268,1
1221,0
1130,1
1210,0
1265,0
1088,1
1248,0
1261,0
919,0
1175,1
1228,0
1146,0
927,0
1154,1
1149,0
1081,0
928,0
1186,0
940,1
944,1
1234,0
1117,0
992,1
904,1
1036,1
1289,1
1277,1
1294,1
1083,0
1209,0
1304,1
902,0
1003,0
1204,0
997,0
1246,0
1172,1
1203,0
1023,0
1197,0
1158,0
957,0
1244,0
969,0
1080,0
1038,0
1285,0
1077,0
1148,0
1054,1
1078,1
942,1
985,0
1097,0
1182,0
1048,1
892,0
967,0
1026,0
1079,0
1090,0
1240,0
922,1
1099,0
1269,0
966,1
1007,0
1222,1
1199,0
1170,1
998,0
977,0
897,0
1059,0
